Goal,Exam,test_Id,version,Sequence,Section,Section_name,event_info,Answer_given_in_view_solution_API,Is_match_in_nlu,question_code,bloom_level_CG,Question_status_in_cg,category,is_alphanumeric status in CG,Is_any_option_repeating,Answer,Ideal_Time,Spent_Time,Attempt_type,nmarks,pmarks,partial_marking,Spent time in fiber API,t_first_look in fiber,t_last_save in fiber,t_first_look-t_last_save (in seconds),fiber attemptTypeBadge,fiber correctAnswerCsv,user_category,Is Match,Comment
Banking,IBPS PO Prelims,mb43851,9,11,ms117119,Reasoning Ability,EM5631250:5.20-en-a,Na,Na,EM5631250:5.20-en,Analysis,Published,Single Choice,True,No,correct,40,7,TooFastCorrect,-0.25,1.0,False,7.0,1610964574,1610964581,7,TooFastCorrect,EM5631250:5.20-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,12,ms117119,Reasoning Ability,EM5777066:1.22-en-e,Na,Na,EM5777066:1.22-en,Analysis,Published,Single Choice,True,No,correct,60,68,OvertimeCorrect,-0.25,1.0,False,68.0,1610964581,1610964649,68,OvertimeCorrect,EM5777066:1.22-en-e,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,13,ms117119,Reasoning Ability,EM5777066:2.22-en-b,Na,Na,EM5777066:2.22-en,Analysis,Published,Single Choice,True,No,incorrect,30,24,Incorrect,-0.25,1.0,False,24.0,1610964649,1610964673,24,Incorrect,EM5777066:2.22-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,14,ms117119,Reasoning Ability,EM5777066:3.22-en-d,Na,Na,EM5777066:3.22-en,Analysis,Published,Single Choice,True,No,correct,30,28,Perfect,-0.25,1.0,False,28.0,1610964673,1610964701,28,Perfect,EM5777066:3.22-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,15,ms117119,Reasoning Ability,EM5777066:4.22-en-a,Na,Na,EM5777066:4.22-en,Analysis,Published,Single Choice,True,No,correct,30,22,Perfect,-0.25,1.0,False,22.0,1610964701,1610964723,22,Perfect,EM5777066:4.22-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,16,ms117119,Reasoning Ability,EM5777066:5.22-en-d,Na,Na,EM5777066:5.22-en,Analysis,Published,Single Choice,True,No,correct,30,33,OvertimeCorrect,-0.25,1.0,False,33.0,1610964723,1610964756,33,OvertimeCorrect,EM5777066:5.22-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,17,ms117119,Reasoning Ability,EM5765477:1.17-en-c,Na,Na,EM5765477:1.17-en,Analysis,Published,Single Choice,True,No,correct,30,7,TooFastCorrect,-0.25,1.0,False,7.0,1610964756,1610964763,7,TooFastCorrect,EM5765477:1.17-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,18,ms117119,Reasoning Ability,EM5765477:2.17-en-a,Na,Na,EM5765477:2.17-en,Analysis,Published,Single Choice,True,No,correct,30,24,Perfect,-0.25,1.0,False,24.0,1610964763,1610964787,24,Perfect,EM5765477:2.17-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,19,ms117119,Reasoning Ability,EM5765477:3.17-en-a,Na,Na,EM5765477:3.17-en,Analysis,Published,Single Choice,True,No,incorrect,30,20,Incorrect,-0.25,1.0,False,20.0,1610964787,1610964807,20,Incorrect,EM5765477:3.17-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,20,ms117119,Reasoning Ability,EM5765477:4.17-en-c,Na,Na,EM5765477:4.17-en,Analysis,Published,Single Choice,True,No,correct,30,31,OvertimeCorrect,-0.25,1.0,False,31.0,1610964807,1610964838,31,OvertimeCorrect,EM5765477:4.17-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,21,ms117119,Reasoning Ability,,Na,Na,EM5765477:5.17-en,Analysis,Published,Single Choice,True,Na,skip,30,20,NonAttempt,-0.25,1.0,False,20.0,1610964838,0,49562,NonAttempt,EM5765477:5.17-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,22,ms117119,Reasoning Ability,EM5727869:1.19-en-a,Na,Na,EM5727869:1.19-en,Analysis,Published,Single Choice,True,No,correct,35,15,Perfect,-0.25,1.0,False,15.0,1610964858,1610964873,15,Perfect,EM5727869:1.19-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,23,ms117119,Reasoning Ability,EM5727869:2.19-en-d,Na,Na,EM5727869:2.19-en,Analysis,Published,Single Choice,True,No,correct,35,31,Perfect,-0.25,1.0,False,31.0,1610964873,1610964904,31,Perfect,EM5727869:2.19-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,24,ms117119,Reasoning Ability,EM5727869:3.19-en-b,Na,Na,EM5727869:3.19-en,Analysis,Published,Single Choice,True,No,correct,35,37,OvertimeCorrect,-0.25,1.0,False,37.0,1610964904,1610964941,37,OvertimeCorrect,EM5727869:3.19-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,25,ms117119,Reasoning Ability,EM5727869:4.19-en-b,Na,Na,EM5727869:4.19-en,Analysis,Published,Single Choice,True,No,correct,35,47,OvertimeCorrect,-0.25,1.0,False,47.0,1610964941,1610964988,47,OvertimeCorrect,EM5727869:4.19-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,26,ms117119,Reasoning Ability,EM5727869:5.19-en-b,Na,Na,EM5727869:5.19-en,Analysis,Published,Single Choice,True,No,correct,35,20,Perfect,-0.25,1.0,False,20.0,1610964988,1610965008,20,Perfect,EM5727869:5.19-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,27,ms117119,Reasoning Ability,EM5719081:1.26-en-e,Na,Na,EM5719081:1.26-en,Analysis,Published,Single Choice,True,No,correct,40,35,Perfect,-0.25,1.0,False,35.0,1610965008,1610965043,35,Perfect,EM5719081:1.26-en-e,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,28,ms117119,Reasoning Ability,EM5719081:2.26-en-a,Na,Na,EM5719081:2.26-en,Analysis,Published,Single Choice,True,No,incorrect,40,55,OvertimeIncorrect,-0.25,1.0,False,55.0,1610965043,1610965098,55,OvertimeIncorrect,EM5719081:2.26-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,29,ms117119,Reasoning Ability,EM5719081:3.26-en-a,Na,Na,EM5719081:3.26-en,Analysis,Published,Single Choice,True,No,correct,40,50,OvertimeCorrect,-0.25,1.0,False,50.0,1610965098,1610965148,50,OvertimeCorrect,EM5719081:3.26-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,30,ms117119,Reasoning Ability,,Na,Na,EM5719081:4.26-en,Analysis,Published,Single Choice,True,Na,skip,40,59,NonAttempt,-0.25,1.0,False,59.0,1610965148,0,49252,NonAttempt,EM5719081:4.26-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,31,ms117119,Reasoning Ability,EM5719081:5.26-en-c,Na,Na,EM5719081:5.26-en,Analysis,Published,Single Choice,True,No,correct,35,41,OvertimeCorrect,-0.25,1.0,False,41.0,1610965207,1610965248,41,OvertimeCorrect,EM5719081:5.26-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,32,ms117119,Reasoning Ability,EM4032769-en-e,Na,Na,EM4032769-en,Analysis,Published,Single Choice,True,No,correct,40,46,OvertimeCorrect,-0.25,1.0,False,46.0,1610965248,1610965294,46,OvertimeCorrect,EM4032769-en-e,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,33,ms117119,Reasoning Ability,,Na,Na,EM3425540-en,Analysis,Published,Single Choice,True,Na,skip,50,60,NonAttempt,-0.25,1.0,False,60.0,1610965294,0,49106,NonAttempt,EM3425540-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,34,ms117119,Reasoning Ability,EM3425591-en-e,Na,Na,EM3425591-en,Analysis,Published,Single Choice,True,No,correct,40,19,Perfect,-0.25,1.0,False,19.0,1610965354,1610965373,19,Perfect,EM3425591-en-e,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,35,ms117119,Reasoning Ability,EM3223755-en-a,Na,Na,EM3223755-en,Analysis,UAT Rejected,Single Choice,True,No,incorrect,35,4,Wasted,-0.25,1.0,False,4.0,1610965373,1610965377,4,Wasted,EM3223755-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,1,ms117120,English Language,EM5696031:1.19-en-a,Na,Na,EM5696031:1.19-en,Rote Learning,Published,Single Choice,True,No,incorrect,180,230,OvertimeIncorrect,-0.25,1.0,False,230.0,1610965377,1610965607,230,OvertimeIncorrect,EM5696031:1.19-en-e,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,2,ms117120,English Language,EM5696031:2.19-en-a,Na,Na,EM5696031:2.19-en,Rote Learning,Published,Single Choice,True,No,incorrect,50,12,Wasted,-0.25,1.0,False,12.0,1610965607,1610965619,12,Wasted,EM5696031:2.19-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,3,ms117120,English Language,EM5696031:3.19-en-b,Na,Na,EM5696031:3.19-en,Rote Learning,Published,Single Choice,True,No,correct,50,31,Perfect,-0.25,1.0,False,31.0,1610965619,1610965650,31,Perfect,EM5696031:3.19-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,4,ms117120,English Language,EM5696031:4.19-en-a,Na,Na,EM5696031:4.19-en,Rote Learning,Published,Single Choice,True,No,incorrect,40,31,Incorrect,-0.25,1.0,False,31.0,1610965650,1610965681,31,Incorrect,EM5696031:4.19-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,5,ms117120,English Language,EM5696031:5.19-en-a,Na,Na,EM5696031:5.19-en,Rote Learning,Published,Single Choice,True,No,correct,50,15,Perfect,-0.25,1.0,False,15.0,1610965681,1610965696,15,Perfect,EM5696031:5.19-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,6,ms117120,English Language,EM5696031:6.19-en-a,Na,Na,EM5696031:6.19-en,Rote Learning,Published,Single Choice,True,No,incorrect,50,60,OvertimeIncorrect,-0.25,1.0,False,60.0,1610965696,1610965756,60,OvertimeIncorrect,EM5696031:6.19-en-e,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,7,ms117120,English Language,EM5696031:7.19-en-b,Na,Na,EM5696031:7.19-en,Rote Learning,Published,Single Choice,True,No,incorrect,35,42,OvertimeIncorrect,-0.25,1.0,False,42.0,1610965756,1610965798,42,OvertimeIncorrect,EM5696031:7.19-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,8,ms117120,English Language,EM5696031:8.19-en-d,Na,Na,EM5696031:8.19-en,Rote Learning,Published,Single Choice,True,No,correct,30,20,Perfect,-0.25,1.0,False,20.0,1610965798,1610965818,20,Perfect,EM5696031:8.19-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,9,ms117120,English Language,,Na,Na,EM5696031:9.19-en,Rote Learning,Published,Single Choice,True,Na,skip,25,5,NonAttempt,-0.25,1.0,False,5.0,1610965818,0,48582,NonAttempt,EM5696031:9.19-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,10,ms117120,English Language,EM5696031:10.19-en-b,Na,Na,EM5696031:10.19-en,Rote Learning,Published,Single Choice,True,No,correct,25,14,Perfect,-0.25,1.0,False,14.0,1610965823,1610965837,14,Perfect,EM5696031:10.19-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,11,ms117120,English Language,EM5711329:1.19-en-b,Na,Na,EM5711329:1.19-en,Application,Published,Single Choice,True,No,correct,20,26,OvertimeCorrect,-0.25,1.0,False,26.0,1610965837,1610965863,26,OvertimeCorrect,EM5711329:1.19-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,12,ms117120,English Language,EM5711329:2.19-en-e,Na,Na,EM5711329:2.19-en,Application,Published,Single Choice,True,No,correct,20,8,Perfect,-0.25,1.0,False,8.0,1610965863,1610965871,8,Perfect,EM5711329:2.19-en-e,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,13,ms117120,English Language,EM5711329:3.19-en-a,Na,Na,EM5711329:3.19-en,Application,Published,Single Choice,True,No,incorrect,20,8,Incorrect,-0.25,1.0,False,8.0,1610965871,1610965879,8,Incorrect,EM5711329:3.19-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,14,ms117120,English Language,EM5711329:4.19-en-a,Na,Na,EM5711329:4.19-en,Application,Published,Single Choice,True,No,correct,25,30,OvertimeCorrect,-0.25,1.0,False,30.0,1610965879,1610965909,30,OvertimeCorrect,EM5711329:4.19-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,15,ms117120,English Language,EM5711329:5.19-en-a,Na,Na,EM5711329:5.19-en,Application,Published,Single Choice,True,No,correct,20,4,TooFastCorrect,-0.25,1.0,False,4.0,1610965909,1610965913,4,TooFastCorrect,EM5711329:5.19-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,16,ms117120,English Language,EM5711329:6.19-en-b,Na,Na,EM5711329:6.19-en,Application,Published,Single Choice,True,No,correct,20,10,Perfect,-0.25,1.0,False,10.0,1610965913,1610965923,10,Perfect,EM5711329:6.19-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,17,ms117120,English Language,EM5711329:7.19-en-c,Na,Na,EM5711329:7.19-en,Application,Published,Single Choice,True,No,correct,20,6,Perfect,-0.25,1.0,False,6.0,1610965923,1610965929,6,Perfect,EM5711329:7.19-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,18,ms117120,English Language,EM5711329:8.19-en-b,Na,Na,EM5711329:8.19-en,Application,Published,Single Choice,True,No,correct,20,26,OvertimeCorrect,-0.25,1.0,False,26.0,1610965929,1610965955,26,OvertimeCorrect,EM5711329:8.19-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,19,ms117120,English Language,EM5711329:9.19-en-b,Na,Na,EM5711329:9.19-en,Application,Published,Single Choice,True,No,incorrect,20,5,Wasted,-0.25,1.0,False,5.0,1610965955,1610965960,5,Wasted,EM5711329:9.19-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,20,ms117120,English Language,EM5711329:10.19-en-a,Na,Na,EM5711329:10.19-en,Application,Published,Single Choice,True,No,correct,20,28,OvertimeCorrect,-0.25,1.0,False,28.0,1610965960,1610965988,28,OvertimeCorrect,EM5711329:10.19-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,21,ms117120,English Language,,Na,Na,EM5739113:1.16-en,Comprehension,Published,Single Choice,True,Na,skip,120,117,NonAttempt,-0.25,1.0,False,117.0,1610965988,0,48412,NonAttempt,EM5739113:1.16-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,22,ms117120,English Language,EM5739113:2.16-en-b,Na,Na,EM5739113:2.16-en,Comprehension,Published,Single Choice,True,No,correct,40,53,OvertimeCorrect,-0.25,1.0,False,53.0,1610966105,1610966158,53,OvertimeCorrect,EM5739113:2.16-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,23,ms117120,English Language,EM5739113:3.16-en-b,Na,Na,EM5739113:3.16-en,Comprehension,Published,Single Choice,True,No,correct,40,51,OvertimeCorrect,-0.25,1.0,False,51.0,1610966158,1610966209,51,OvertimeCorrect,EM5739113:3.16-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,24,ms117120,English Language,EM5739113:4.16-en-b,Na,Na,EM5739113:4.16-en,Comprehension,Published,Single Choice,True,No,correct,40,16,Perfect,-0.25,1.0,False,16.0,1610966209,1610966225,16,Perfect,EM5739113:4.16-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,25,ms117120,English Language,EM5739113:5.16-en-a,Na,Na,EM5739113:5.16-en,Comprehension,Published,Single Choice,True,No,correct,40,41,OvertimeCorrect,-0.25,1.0,False,41.0,1610966225,1610966266,41,OvertimeCorrect,EM5739113:5.16-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,26,ms117120,English Language,EM5666809:1.31-en-d,Na,Na,EM5666809:1.31-en,Rote Learning,UAT Rejected,Single Choice,True,No,correct,30,37,OvertimeCorrect,-0.25,1.0,False,37.0,1610966266,1610966303,37,OvertimeCorrect,EM5666809:1.31-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,27,ms117120,English Language,EM5666809:2.31-en-a,Na,Na,EM5666809:2.31-en,Rote Learning,UAT Rejected,Single Choice,True,No,correct,20,23,OvertimeCorrect,-0.25,1.0,False,23.0,1610966303,1610966326,23,OvertimeCorrect,EM5666809:2.31-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,28,ms117120,English Language,EM5666809:3.31-en-a,Na,Na,EM5666809:3.31-en,Rote Learning,UAT Rejected,Single Choice,True,No,incorrect,20,6,Incorrect,-0.25,1.0,False,6.0,1610966326,1610966332,6,Incorrect,EM5666809:3.31-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,29,ms117120,English Language,EM5666809:4.31-en-c,Na,Na,EM5666809:4.31-en,Rote Learning,UAT Rejected,Single Choice,True,No,correct,20,27,OvertimeCorrect,-0.25,1.0,False,27.0,1610966332,1610966359,27,OvertimeCorrect,EM5666809:4.31-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,30,ms117120,English Language,,Na,Na,EM5666809:5.31-en,Rote Learning,UAT Rejected,Single Choice,True,Na,skip,20,21,NonAttempt,-0.25,1.0,False,21.0,1610966359,0,48041,NonAttempt,EM5666809:5.31-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,1,ms117121,Quantitative Aptitude,EM4437818-en-a,Na,Na,EM4437818-en,Application,Published,Single Choice,True,No,incorrect,50,31,Incorrect,-0.25,1.0,False,31.0,1610966380,1610966411,31,Incorrect,EM4437818-en-e,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,2,ms117121,Quantitative Aptitude,EM2734077-en-a,Na,Na,EM2734077-en,Application,Published,Single Choice,True,No,incorrect,40,46,OvertimeIncorrect,-0.25,1.0,False,46.0,1610966411,1610966457,46,OvertimeIncorrect,EM2734077-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,3,ms117121,Quantitative Aptitude,EM2878560-en-b,Na,Na,EM2878560-en,Application,Published,Single Choice,True,No,correct,55,31,Perfect,-0.25,1.0,False,31.0,1610966457,1610966488,31,Perfect,EM2878560-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,4,ms117121,Quantitative Aptitude,EM3391933-en-a,Na,Na,EM3391933-en,Application,Published,Single Choice,True,No,incorrect,45,24,Incorrect,-0.25,1.0,False,24.0,1610966488,1610966512,24,Incorrect,EM3391933-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,5,ms117121,Quantitative Aptitude,EM3700074-en-b,Na,Na,EM3700074-en,Application,Published,Single Choice,True,No,correct,35,31,Perfect,-0.25,1.0,False,31.0,1610966512,1610966543,31,Perfect,EM3700074-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,6,ms117121,Quantitative Aptitude,EM4772457-en-b,Na,Na,EM4772457-en,Application,Published,Single Choice,True,No,incorrect,50,60,OvertimeIncorrect,-0.25,1.0,False,60.0,1610966543,1610966603,60,OvertimeIncorrect,EM4772457-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,7,ms117121,Quantitative Aptitude,EM3391993-en-a,Na,Na,EM3391993-en,Application,Published,Single Choice,True,No,incorrect,45,27,Incorrect,-0.25,1.0,False,27.0,1610966603,1610966630,27,Incorrect,EM3391993-en-e,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,8,ms117121,Quantitative Aptitude,EM3392021-en-c,Na,Na,EM3392021-en,Application,Published,Single Choice,True,No,correct,45,25,Perfect,-0.25,1.0,False,25.0,1610966630,1610966655,25,Perfect,EM3392021-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,9,ms117121,Quantitative Aptitude,,Na,Na,EM3392055-en,Application,Published,Single Choice,True,Na,skip,40,42,NonAttempt,-0.25,1.0,False,42.0,1610966655,0,47745,NonAttempt,EM3392055-en-e,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,10,ms117121,Quantitative Aptitude,EM3301988-en-e,Na,Na,EM3301988-en,Application,Published,Single Choice,True,No,correct,45,51,OvertimeCorrect,-0.25,1.0,False,51.0,1610966697,1610966748,51,OvertimeCorrect,EM3301988-en-e,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,11,ms117121,Quantitative Aptitude,EM4866856-en-c,Na,Na,EM4866856-en,Application,Published,Single Choice,True,No,correct,40,36,Perfect,-0.25,1.0,False,36.0,1610966748,1610966784,36,Perfect,EM4866856-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,12,ms117121,Quantitative Aptitude,EM4773074-en-a,Na,Na,EM4773074-en,Application,Published,Single Choice,True,No,correct,20,17,Perfect,-0.25,1.0,False,17.0,1610966784,1610966801,17,Perfect,EM4773074-en-a,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,13,ms117121,Quantitative Aptitude,EM3431959-en-a,Na,Na,EM3431959-en,Application,Published,Single Choice,True,No,incorrect,30,31,OvertimeIncorrect,-0.25,1.0,False,31.0,1610966801,1610966832,31,OvertimeIncorrect,EM3431959-en-e,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,14,ms117121,Quantitative Aptitude,EM3397104-en-d,Na,Na,EM3397104-en,Application,Published,Single Choice,True,No,correct,25,25,Perfect,-0.25,1.0,False,25.0,1610966832,1610966857,25,Perfect,EM3397104-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,15,ms117121,Quantitative Aptitude,EM3698001-en-b,Na,Na,EM3698001-en,Application,Published,Single Choice,True,No,correct,30,27,Perfect,-0.25,1.0,False,27.0,1610966857,1610966884,27,Perfect,EM3698001-en-b,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,16,ms117121,Quantitative Aptitude,EM5774579:1.26-en-c,Na,Na,EM5774579:1.26-en,Application,Published,Single Choice,True,No,correct,40,19,Perfect,-0.25,1.0,False,19.0,1610966884,1610966903,19,Perfect,EM5774579:1.26-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,17,ms117121,Quantitative Aptitude,EM5774579:2.26-en-e,Na,Na,EM5774579:2.26-en,Application,Published,Single Choice,True,No,correct,45,25,Perfect,-0.25,1.0,False,25.0,1610966903,1610966928,25,Perfect,EM5774579:2.26-en-e,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,18,ms117121,Quantitative Aptitude,EM5774579:3.26-en-c,Na,Na,EM5774579:3.26-en,Application,Published,Single Choice,True,No,correct,35,29,Perfect,-0.25,1.0,False,29.0,1610966928,1610966957,29,Perfect,EM5774579:3.26-en-c,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,19,ms117121,Quantitative Aptitude,EM5774579:4.26-en-a,Na,Na,EM5774579:4.26-en,Application,Published,Single Choice,True,No,incorrect,35,3,Wasted,-0.25,1.0,False,3.0,1610966957,1610966960,3,Wasted,EM5774579:4.26-en-e,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,20,ms117121,Quantitative Aptitude,EM5774579:5.26-en-d,Na,Na,EM5774579:5.26-en,Application,Published,Single Choice,True,No,correct,45,29,Perfect,-0.25,1.0,False,29.0,1610966960,1610966989,29,Perfect,EM5774579:5.26-en-d,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,21,ms117121,Quantitative Aptitude,,Na,Na,EM5702953:1.20-en,Application,Published,Single Choice,True,Na,skip,45,23,NonAttempt,-0.25,1.0,False,23.0,1610966989,0,47411,NonAttempt,EM5702953:1.20-en-e,Fighter,True,
Banking,IBPS PO Prelims,mb43851,9,22,ms117121,Quantitative Aptitude,EM5702953:2.20-en-a,Na,Na,EM5702953:2.20-en,Application,Published,Single Choice,True,No,correct,40,39,Perfect,-0.25,1.0,False,39.0,1610967012,1610967051,39,Perfect,EM5702953:2.20-en-a,Fighter,True,
